 Sl. No. , Task / Dataset ID , Name of Dataset , Number of Input Features , Number of Nominal (Categorical) Features ,mean accuracy rf,std accuracy rf,mean accuracy kdf,std accuracy kdf,Executed?,task_id (from OpenML execution),dataset name
39,9957, qsar-biodeg ,41,0,0.865354897,0.028655592,0.814168913,0.043461991,0,9957,qsar-biodeg
40,9960, wall-robot-navigation ,24,0,0.994502806,0.002588711,0.739921027,0.011749579,0,9960,wall-robot-navigation
41,9965, semeion ,256,0,0.944752358,0.015621479,0.308199686,0.063103704,1,9964,semeion
42,9971, ilpd ,10,1,0.710198714,0.028125836,0.502308591,0.059757116,0,9971,ilpd
43,9976, madelon ,500,0,0.731923077,0.041390406,0.5,0,0,9976,madelon
44,1486, nomao ,118,29,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,1,,nomao
45,9978, ozone-level-8hr ,72,0,0.943965329,0.005766393,0.937252186,0.001235925,0,9978,ozone-level-8hr
46,9981, cnae-9 ,856,0,0.92962963,0.018610881,0.111111111,1.39E-17,0,9981,cnae-9
47,9985, first-order-theorem-proving ,51,0,0.633212188,0.009611547,0.41827605,0.027251754,0,9985,first-order-theorem-proving
48,10093, banknote-authentication ,4,0,0.993430657,0.006886118,0.994171163,0.006360964,0,10093,banknote-authentication
49,10101, blood-transfusion-service-center ,4,0,0.743333333,0.049051469,0.656630631,0.140370469,0,10101,blood-transfusion-service-center
50,4534, PhishingWebsites ,30,30,0.974310425,0.004701988,0.961556217,0.007201982,1,14952,PhishingWebsites
51,6332, cylinder-bands ,39,21,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,cylinder-bands
52,1461, bank-marketing ,16,9,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,1,, bank-marketing 
53,14969, GesturePhaseSegmentationProcessed ,32,0,0.68236692,0.00887105,0.52486371,0.01380741,0,14969,GesturePhaseSegmentationProcessed
54,1478, har ,561,0,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,har
55,125920, dresses-sales ,12,11,ValueError in Execution,ValueError in Execution,ValueError in Execution,ValueError in Execution,0,125920,dresses-sales
56,125922, texture ,40,0,0.979818182,0.007944019,0.999636364,0.000727273,0,125922,texture
57,40668, connect-4 ,42,42,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,connect-4
58,146800,  MiceProtein ,81,4,ValueError in Execution,ValueError in Execution,ValueError in Execution,ValueError in Execution,0,146800,MiceProtein
59,146817, steel-plates-fault ,27,0,0.788784034,0.022299995,0.181842453,0.071836877,0,146817,steel-plates-fault
60,146819, climate-model-simulation-crashes ,18,0,0.924074074,0.012962963,0.916666667,0.009259259,0,146819,climate-model-simulation-crashes
61,146820, wilt ,5,0,0.982847818,0.004338366,0.971482042,0.00486997,0,146820,wilt
62,146821, car ,6,6,0.986698481,0.008587234,0.944451539,0.015955464,0,146821,car
63,146822, segment ,19,0,0.937229437,0.018695085,0.831601732,0.026221762,0,146822,segment
64,146824, mfeat-pixel ,240,0,0.9785,0.013238202,0.895,0.04577117,0,146824,mfeat-pixel
65,40996,  Fashion-MNIST ,784,0,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,  Fashion-MNIST 
66,41027, jungle_chess_2pcs_raw_endgame_complete ,6,0,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,1,, jungle_chess_2pcs_raw_endgame_complete 
67,23517,  numerai28.6 ,21,0,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,1,,  numerai28.6 
68,40923,  Devnagri Script ,1024,0,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,,  Devnagri Script 
69,40927, CIFAR_10 ,3072,0,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,Very long exection time -- Yet to execute,1,, CIFAR_10 
70,40978, Internet-Advertisements ,1558,1555,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,Maxed out RAM -- Yet to Execute,1,, Internet-Advertisements 
71,167140, dna ,180,180,0.956375071,0.013113802,0.950096607,0.011611025,0,167140,dna
72,167141, churn ,20,4,0.9592,0.0064622,0.8586,0.00091652,0,167141,churn
,,,,,,,,,17,,
